Country Name,OECD Rank,BMZ Rank,Comparison
Somalia,1,2,1
South Sudan,2,1,-1
Afghanistan,3,15,12
Yemen,4,7,3
Central African Republic (the),5,6,1
Congo (the Democratic Republic of the),6,8,2
Chad,7,11,4
Syrian Arab Republic (the),8,9,1
Congo (the),9,12,3
Haiti,10,14,4
Burundi,11,35,24
Sudan (the),12,3,-9
Eritrea,13,10,-3
Iraq,14,13,-1
Equatorial Guinea,15,40,25
Libya,16,4,-12
Angola,17,38,21
Cameroon,18,27,9
Niger (the),19,25,6
Mali,20,21,1
Liberia,21,68,47
Madagascar,22,33,11
Uganda,23,42,19
Mozambique,24,43,19
Guinea,25,22,-3
Nigeria,26,24,-2
Papua New Guinea,27,31,4
Myanmar,28,5,-23
Guinea-Bissau,29,32,3
Zambia,30,49,19
Comoros (the),31,999,968
Mauritania,32,45,13
Timor-Leste,33,88,55
Zimbabwe,34,29,-5
Burkina Faso,35,26,-9
Ethiopia,36,17,-19
Tajikistan,37,44,7
Bangladesh,38,46,8
Pakistan,39,36,-3
Sierra Leone,40,75,35
Cambodia,41,55,14
Côte d'Ivoire,42,76,34
Venezuela (Bolivarian Republic of),43,16,-27
Solomon Islands,44,54,10
Djibouti,45,37,-8
Eswatini,46,19,-27
Turkmenistan,47,39,-8
Lao People's Democratic Republic (the),48,51,3
Guatemala,49,34,-15
"Tanzania, the United Republic of",50,59,9
Kenya,51,71,20
Togo,52,83,31
Nicaragua,53,48,-5
Benin,54,74,20
Korea (the Democratic People's Republic of),55,90,35
Lesotho,56,94,38
Gambia (the),57,86,29
"Palestine, State of",58,18,-40
Honduras,59,41,-18
Iran (Islamic Republic of),60,23,-37
