name,ind_E1,weighted_mean,iso_a3
Norway,1.5,1.5,NOR
Finland,1.429073314173269,1.429073314173269,FIN
Switzerland,1.3433410592581243,1.3433410592581243,CHE
Denmark,1.3065697121596274,1.3065697121596274,DNK
Sweden,1.2769198083483757,1.2769198083483757,SWE
Iceland,1.2262137794602834,1.2262137794602834,ISL
New Zealand,1.2069488619553659,1.2069488619553659,NZL
Germany,1.1999369376850253,1.1999369376850253,DEU
United Kingdom,1.1937525970214682,1.1937525970214682,GBR
Austria,1.1685927820959838,1.1685927820959838,AUT
Australia,1.1185641404448177,1.1185641404448177,AUS
Luxembourg,1.0882143844386887,1.0882143844386887,LUX
Canada,1.0672319365897533,1.0672319365897533,CAN
South Korea,1.0565881730535889,1.0565881730535889,KOR
France,1.0298710971888592,1.0298710971888592,FRA
United States of America,1.0221201405656437,1.0221201405656437,USA
Netherlands,0.9754695441374942,0.9754695441374942,NLD
Japan,0.9126233600830024,0.9126233600830024,JPN
Ireland,0.8818074204000629,0.8818074204000629,IRL
Slovenia,0.865075120634741,0.865075120634741,SVN
Czechia,0.851076598014196,0.851076598014196,CZE
Estonia,0.813349029964158,0.813349029964158,EST
Belgium,0.7920913277381317,0.7920913277381317,BEL
Portugal,0.7375564334559207,0.7375564334559207,PRT
Spain,0.6848443297603374,0.6848443297603374,ESP
Israel,0.6779986824832586,0.6779986824832586,ISR
Lithuania,0.6553690643279914,0.6553690643279914,LTU
Poland,0.6510378593050522,0.6510378593050522,POL
Russia,0.6305687657722193,0.6305687657722193,RUS
Latvia,0.6275386011209582,0.6275386011209582,LVA
United Arab Emirates,0.6079733522239895,0.6079733522239895,ARE
Chile,0.5778184143347623,0.5778184143347623,CHL
Greece,0.5761533071445667,0.5761533071445667,GRC
Italy,0.5698181502538694,0.5698181502538694,ITA
Kazakhstan,0.5482169068217405,0.5482169068217405,KAZ
Qatar,0.48848267743236484,0.48848267743236484,QAT
Georgia,0.4668515797238103,0.4668515797238103,GEO
China,0.457903080622062,0.457903080622062,CHN
Cyprus,0.4388919055902488,0.4388919055902488,CYP
Slovakia,0.4361553357733964,0.4361553357733964,SVK
Belarus,0.43098869409674523,0.43098869409674523,BLR
Hungary,0.4148790139412598,0.4148790139412598,HUN
Brunei,0.3865914699827938,0.3865914699827938,BRN
Saudi Arabia,0.3851693163049671,0.3851693163049671,SAU
