name,ind_I1,ind_I2,ind_I3,ind_I4,ind_I5,weighted_mean,iso_a3
United States of America,-0.5515017585301851,1.484,0.3962102510822656,,0.9999999999999998,0.5821771231380201,USA
Ireland,-0.20669694340349648,1.492,0.7054379437834508,,0.24561530716760638,0.5590890768868901,IRL
Switzerland,-0.34040323885697077,1.5,0.5812361788687785,,0.44945663329465724,0.5475723933266162,CHE
Norway,-0.14752196475768042,1.492,0.6320827741217325,,0.17985742478202327,0.5391045585365188,NOR
Luxembourg,0.05542842567408046,1.5,0.34304133293420724,,0.25622266844295605,0.538673106762811,LUX
Netherlands,-0.7922039589898656,1.5,0.6963008358789842,,0.24228566101711757,0.41159563447655906,NLD
Denmark,-0.6579782698682788,1.492,0.5777627386487332,,0.2172159923662027,0.40725011528666427,DNK
Sweden,-0.799694231733109,1.476,0.7148272707668708,,0.18170106578472445,0.39320852620462154,SWE
Germany,-0.8957814191317306,1.5,0.5643758508652716,,0.28199901663828686,0.362648362092957,DEU
Australia,-0.6915215713276268,1.468,0.6293197273010565,,0.0096882521097712,0.3538716020208002,AUS
Canada,-0.8109389596161258,1.492,0.7221907286559479,,0.00981084106023844,0.35326565252501513,CAN
Iceland,-0.5871970955549342,1.5,0.5443565955720318,,-0.04443163014152085,0.3531819674688942,ISL
Austria,-0.8538032910230686,1.452,0.5493196096123483,,0.2338607157951802,0.34534425859611495,AUT
United Kingdom,-0.9281093663211657,1.476,0.672565863953575,,0.044620415180876005,0.3162692282033213,GBR
Belgium,-0.8807088701806074,1.5,0.5958900464824737,,0.0016417593311917056,0.3042057339082645,BEL
Finland,-0.8689246729385567,1.5,0.7170193244353551,,-0.1675451147180428,0.29513738419468893,FIN
Albania,-1.4183166703210572,1.5,0.16637495592380436,0.8844672657252888,,0.283131387832009,ALB
France,-0.9934327295669332,1.492,0.6037796540672273,,-0.02283959337537289,0.2698768327812303,FRA
Japan,-1.0790797534998458,1.484,0.7466817490835114,,-0.21368445750826648,0.23447938451884978,JPN
South Korea,-1.098963499060765,1.492,0.7264670899503414,,-0.27182640638811206,0.21191929612536606,KOR
Israel,-0.8183142603378213,1.484,0.5059338698010829,,-0.4145776874486593,0.18926048050365057,ISR
Slovenia,-1.1486291862890519,1.5,0.6454814307761354,,-0.31344234442243923,0.17085247501616108,SVN
United Arab Emirates,-0.8335629221558635,1.5,0.29832855146859627,,-0.3156851888773279,0.16227011010885123,ARE
Italy,-1.0696141492044973,1.444,0.4849102022465268,,-0.253225886511236,0.15151754163269837,ITA
Portugal,-1.1975570759772907,1.484,0.6249283151476375,,-0.3083492067890635,0.15075550809532082,PRT
Czechia,-1.1637501656650755,1.5,0.5681033363683818,,-0.34783442255787445,0.13912968703635797,CZE
Estonia,-1.1510261387048386,1.484,0.6530260886953867,,-0.45825123554728187,0.13193717861081655,EST
Cyprus,-1.1036309471866337,1.5,0.5792109185091419,,-0.4554220493850445,0.13003948048436592,CYP
Spain,-1.1332277651181526,1.46,0.4863922683387796,,-0.3132253097112153,0.12498479837735291,ESP
Lithuania,-1.1907050079924208,1.492,0.4107928967356136,,-0.4223174582199847,0.07244260763080201,LTU
Bhutan,,1.5,-0.3747504251124154,,-0.9225745574318467,0.06755833915191263,BTN
Poland,-1.2702152417295032,1.5,0.5709329381833452,,-0.5738645249660028,0.05671329287195981,POL
Turkey,-1.3701328870290128,1.5,0.21747640810609514,0.7175866495507061,-0.791359136574588,0.054714206810640056,TUR
Peru,-1.4143801148696826,1.444,0.0674521170550153,0.9691912708600771,-0.8784178527892428,0.03756908405123336,PER
Armenia,-1.4157239678951394,1.492,-0.02171940059314159,0.7997432605905006,-0.7123851428438703,0.028382949851669847,ARM
Colombia,-1.420635201594898,1.276,0.06451639249001984,0.9794608472400513,-0.7784754089993665,0.024173325827161342,COL
Latvia,-1.2316683688982935,1.484,0.41260895526870245,,-0.6077102485260946,0.014307584461078604,LVA
Palestine,-1.4559818378241982,1.492,-0.018322458034209843,,,0.005898568047197313,PSE
Greece,-1.2430427230127967,1.46,0.3561831035435925,,-0.5525163416358876,0.00515600972372704,GRC
Croatia,-1.2716815627596003,1.484,0.4232049973466778,,-0.6252540316506843,0.002567350734098306,HRV
Dominican Rep.,-1.3771559677089424,1.484,-0.28123497661774044,1.0,-0.8577460831948349,-0.006427405504303563,DOM
Hungary,-1.2739286529405272,1.476,0.33262811417894955,,-0.5945896479152699,-0.014972546669211884,HUN
Slovakia,-1.238185687733948,1.5,0.27101056707645155,,-0.6185345417240877,-0.02142741559539607,SVK
Russia,-1.312824388700617,1.5,0.3269508514194759,,-0.6168026754180541,-0.02566905317479881,RUS
Chile,-1.311767374075444,1.468,0.22545042690311146,,-0.5652296855998036,-0.04588665819303406,CHL
Belarus,-1.4048735840228503,1.5,0.39047008573673114,,-0.7870811281437778,-0.07537115660747426,BLR
Philippines,-1.45960795183642,1.46,-0.23631461661812092,0.779204107830552,-0.935775495276363,-0.07849879118007037,PHL
Uruguay,-1.2439432938946875,1.5,0.04555430646576264,,-0.6455665018817209,-0.08598887232766145,URY
Serbia,-1.3843075302709695,1.436,0.3105651335733888,,-0.7227690509891888,-0.09012786192169239,SRB
Bulgaria,-1.3289869796636076,1.492,0.09708816319933833,,-0.6494776711578314,-0.09734412190552516,BGR
Montenegro,-1.3773779973426021,1.42,0.16273533112961136,,-0.6207357479808443,-0.10384460354845879,MNE
Costa Rica,-1.3365815539333366,1.476,0.14725683090379738,,-0.7095795747051121,-0.10572607443366283,CRI
China,-1.3446255890319674,1.5,0.23055162372119353,,-0.8425646965077929,-0.11415966545464168,CHN
Argentina,-1.3330248895082364,1.468,0.057076031116691794,,-0.6491782504127261,-0.11428177720106769,ARG
Vietnam,-1.4513162340514327,1.492,0.35604025379976045,,-0.9190991307508424,-0.13059377775062866,VNM
Romania,-1.3063893648249694,1.444,-0.004054325311174445,,-0.6624119817024001,-0.132213917959636,ROU
Kazakhstan,-1.3599394077614804,1.5,0.14681894774017756,,-0.8358032350456813,-0.13723092376674603,KAZ
Guatemala,-1.4349860959132101,1.284,-0.42250221313110625,0.7766367137355584,-0.9122532455250785,-0.1418209681667673,GTM
Malaysia,-1.353690665892269,1.5,0.08714082940407675,,-0.815034610312772,-0.14539611170024105,MYS
Kyrgyzstan,-1.4825931502984686,1.484,0.0382584181288097,0.1938382541720154,-0.9614284690889398,-0.14558498941731665,KGZ
Ukraine,-1.4466970766242777,1.5,0.15662566381885235,,-0.8454763510643949,-0.15888694096745506,UKR
New Zealand,-0.899514530703024,,0.6487000140668431,,-0.23377784856756356,-0.16153078840124815,NZL
Mexico,-1.359883411827456,1.42,0.09385984015336968,,-0.8030522213838862,-0.16226894826449317,MEX
Indonesia,-1.4435297401124534,1.476,-0.15435173533270263,0.23748395378690634,-0.9364857533644687,-0.16417665500454368,IDN
Honduras,-1.465322799029707,1.156,-0.3552571166032841,0.7406931964056482,-0.9120658935144146,-0.1671905225483515,HND
Panama,-1.2868032516359653,1.46,-0.2852006803016143,,-0.5615586538682624,-0.1683906464514605,PAN
Thailand,-1.417071770900477,1.5,0.08147208893045832,,-0.8748682750452995,-0.17761698925382954,THA
South Africa,-1.4188607128916049,0.9479999999999998,-0.5444326874100114,0.9178433889602053,-0.8092183779491472,-0.18133367785811166,ZAF
Mongolia,-1.4403189918160149,1.492,0.0987881563155657,,-0.9032590983973946,-0.18819748347446094,MNG
Qatar,-0.41020850200511555,,0.17836033350748437,,-0.3337785812630125,-0.1885422499202146,QAT
Bangladesh,-1.4697101173280964,1.3639999999999999,-0.4130847828955275,0.5430038510911425,-0.9848639450425386,-0.19213099883500404,BGD
Moldova,-1.4319783807209328,1.5,-0.004171202374307237,,-0.8572277124573553,-0.19834432388814882,MDA
Iran,-1.4450063781880147,1.484,0.027321687528258476,,-0.8757251258440629,-0.2023524541259548,IRN
Ecuador,-1.423538940401384,1.42,0.030216626868100782,,-0.8479328266806223,-0.20531378505347642,ECU
Sri Lanka,-1.4614050155103893,1.492,0.044070211257829506,,-0.9145416844882887,-0.2099691221852121,LKA
Egypt,-1.4496717020559111,1.476,-0.3098046210167362,0.14249037227214378,-0.9177535850706344,-0.2117479071742276,EGY
North Macedonia,-1.4210428530852885,1.412,-0.09542094030133619,,-0.7854839056709221,-0.22248692476438672,MKD
Georgia,-1.4200018985933847,1.396,-0.05601084684077429,,-0.8176463818233719,-0.22441478181438274,GEO
Brazil,-1.3920382013413002,1.332,-0.11534036310314977,,-0.7452648006967348,-0.23016084128529618,BRA
Paraguay,-1.4265093107364715,1.476,-0.19472119468649507,,-0.8257996228929732,-0.24275753207898493,PRY
El Salvador,-1.4392988435088352,1.396,-0.13345569915438027,,-0.8609569219502398,-0.25942786615336383,SLV
