name,ind_S1,ind_S2,ind_S3,ind_S4,ind_S5,ind_S6,ind_S7,weighted_mean,iso_a3
United Arab Emirates,1.2889447236180902,0.8705376637699525,0.8020898641588297,0.5254237288135593,1.0,0.5,0.4098983335648806,0.7709849019893303,ARE
Iceland,1.2814070351758788,0.8314032381002998,0.7450365726227794,1.0,0.9958541094739201,0.13914168975003693,0.38305579896731456,0.76798549201289,ISL
Slovenia,1.4396984924623113,0.8255014397625152,0.7297109021246952,0.9152542372881358,0.9901395036136478,0.07584583985981197,0.3464274372436028,0.7603682646221028,SVN
Netherlands,1.2889447236180902,0.8123754568417075,0.7638453500522466,1.0,0.9357947223934114,0.08552130825387738,0.3402266194700131,0.7466725972327638,NLD
Norway,1.1608040201005023,0.8600118356537401,0.7840473702542669,0.9152542372881358,0.9625749341699815,0.10245898952067689,0.4379939204260107,0.7461636153447592,NOR
Denmark,1.1758793969849244,0.838285900854962,0.7004528039010798,1.0,0.9437503501596728,0.06211425728069697,0.4778780299518607,0.742622962733314,DNK
Czechia,1.2738693467336684,0.7550492815322807,0.8544061302681992,0.8305084745762712,0.9747885035576223,0.06066611806538602,0.34377521072664285,0.7275804379228673,CZE
Ireland,1.0477386934673363,0.8370401123415856,0.6969696969696969,1.0,0.9605580144545913,0.11425636474028411,0.39226672973141874,0.7212613731007018,IRL
Belgium,1.2889447236180902,0.8169141016745262,0.6217345872518286,1.0,0.9238052551963696,0.07041799855788722,0.3235204549054801,0.7207624458863116,BEL
Moldova,1.3115577889447236,0.6017307482526304,0.9456635318704284,0.6610169491525424,0.9784861897025043,0.17915184320834032,0.31455635790265946,0.713166201290547,MDA
Slovakia,1.5,0.7812000714746083,0.5813305468477883,0.593220338983051,0.9886828393747549,0.16819833780500382,0.3324583248844849,0.7064414941956701,SVK
Finland,1.2060301507537683,0.8447286486932566,0.5409265064437478,0.9322033898305087,0.9673931312678582,0.004553569879048647,0.40129182329819957,0.6995896028809127,FIN
Austria,1.0025125628140703,0.8287261786593353,0.6614420062695925,0.9152542372881358,0.9520421312118326,0.12899148574220698,0.3798178855413715,0.6955409267895064,AUT
Poland,1.0778894472361809,0.7625899390852149,0.8077324973876698,0.8305084745762712,0.8904140287971315,0.1420034119286766,0.3443848766288292,0.6936460965199963,POL
Hungary,1.0100502512562812,0.7605809406397073,0.7575757575757576,0.9152542372881358,0.9787102918931032,0.12167010674092238,0.29994310983862593,0.6919692421760762,HUN
New Zealand,,0.8441809365454037,0.7791710205503309,0.9322033898305087,0.9764692699871141,0.10610929515272804,0.4999999999999999,0.6896889853443476,NZL
Luxembourg,0.7311557788944724,0.8535822908966388,0.6900034831069314,1.0,0.9957420583786206,0.21619124417879698,0.24280206824811124,0.6756395605290816,LUX
