name,Dimension_G,Dimension_S,Dimension_I,Dimension_C,Dimension_E,Dimension_R,weighted_mean,iso,country-code
"Taiwan, Province of China",1.2911247135544954,,,1.5,,,1.3955623567772477,TWN,158
Denmark,1.5000000000000007,0.9378772097843098,0.7910021637812057,1.3160870723687428,0.4355232373865424,0.22054210792751383,0.8668386318747192,DNK,208
Norway,1.2197410632404149,0.9456325052675263,0.9485381193408542,1.3414388067729413,0.5,0.1910782252709432,0.8577381199821134,NOR,578
Luxembourg,1.1979785059439734,0.7911596032939834,0.9480226329774544,1.3470675804407475,0.3627381281462295,0.2270669498329313,0.8123389001058866,LUX,442
Sweden,1.3873574395628305,0.7774706651135668,0.7742256707097976,1.300389602629838,0.42563993611612516,0.19676670502433813,0.8103083365260826,SWE,752
Switzerland,1.0484104724029204,0.7149565204802695,0.9586552485956599,1.3510272918103527,0.44778035308604136,0.20978116751181497,0.788435175647843,CHE,756
Finland,1.1538051284609092,0.8436187614372013,0.6570530469546421,1.3187082416373173,0.4763577713910896,0.2201735164870926,0.7782860777280419,FIN,246
Iceland,0.9685170066335766,0.9934302194551905,0.7264030716165801,1.3413466499370656,0.4087379264867611,0.22803864706862598,0.7777455868663,ISL,352
Netherlands,1.008662417464833,0.9467473576324044,0.7961940670732748,1.3220254652918701,0.32515651471249807,0.2032542877124709,0.7670066849812253,NLD,528
Ireland,0.7944343072558216,0.8910876888195567,0.9724150560380824,1.2305584160034135,0.29393580680002096,0.22001601834380002,0.7337412155434491,IRL,372
Australia,1.0368745334680032,0.75195199888985,0.727227027453363,1.3032078182114541,0.3728547134816058,0.18337072296728163,0.7292478024119263,AUS,36
Belgium,0.9788816262924294,0.8899948597858054,0.6678876544374566,1.3320298019648318,0.26403044257937724,0.2129017300224093,0.7242876858470516,BEL,56
Austria,0.8201511847911651,0.8347507128454832,0.7170387989668379,1.3421885684074693,0.3895309273653279,0.20180892279754292,0.7175781858623044,AUT,40
Germany,1.0544726211121322,0.7243518682112171,0.737713251888477,1.3331953460086563,0.3999789792283417,0.01729284633510053,0.7111674854639874,DEU,276
United Kingdom of Great Britain and Northern Ireland,0.880308234734354,0.7808552543305227,0.6823007758637778,1.2844267644220984,0.3979175323404893,0.1933990287318672,0.7032012650705183,GBR,826
New Zealand,1.311688144097066,0.8219328682167883,0.11143884412299965,1.2872760039710842,0.40231628731845526,0.22395210566592771,0.6931007088987201,NZL,554
Estonia,0.9768818549928775,0.7659280797444636,0.4620660620604886,1.310060008449719,0.271116343321386,0.21931379692506248,0.6675610242489997,EST,233
Canada,0.7139731392335229,0.7663464157722297,0.7265030561522328,1.2340619170849743,0.35574397886325104,0.19958673499795443,0.6660358736840275,CAN,124
Slovenia,0.49471960074317933,0.9767457672761066,0.5085609563848759,1.3422196380379243,0.28835837354491367,0.22712466923745467,0.6396215008707424,SVN,705
Czechia,0.543261739423558,0.9049287007039419,0.4706594674836293,1.3503029666770499,0.28369219933806533,0.18299210537781152,0.6226395298340094,CZE,203
France,0.8036246884696341,0.4892888964338953,0.6268724553355787,1.2841845607544173,0.3432903657296197,0.16601246638615907,0.6188789055182173,FRA,250
Japan,0.747763521550677,0.5592787537623098,0.5845805863704918,1.266875145063842,0.3042077866943341,0.22686106728693334,0.6149278101214314,JPN,392
Portugal,0.6549057709004147,0.6933974218182895,0.484549669319442,1.3075433506222278,0.2458521444853069,0.22163269110449324,0.6013135080416957,PRT,620
"Korea, Republic of",0.6444711869108151,0.6181706039987571,0.557626431508657,1.3186940177752617,0.35219605768452955,0.09181932489666156,0.5971629371291137,KOR,410
Lithuania,0.7103789010746165,0.6105665946427781,0.3909836331415961,1.2926298803181657,0.21845635477599712,0.22076349706212917,0.5739631435025471,LTU,440
Spain,0.7436474906089477,0.47184727682486205,0.4537595550024194,1.3447833951937986,0.2282814432534458,0.19553619684924428,0.572975892955453,ESP,724
Italy,0.6555249663007412,0.5097874468056958,0.48546012541421146,1.2245416269755895,0.18993938341795646,0.19806122183960617,0.5438857951256334,ITA,380
Latvia,0.6051105342110228,0.6435571962389994,0.3215255534531456,1.2069138894507643,0.20917953370698605,0.2211087390953047,0.5345659076927037,LVA,428
Greece,0.6120144092885589,0.5333967768828489,0.3105915110682993,1.3126996122840575,0.19205110238152223,0.2094084236045799,0.5283603059183112,GRC,300
United States of America,0.4467672171175914,0.20937920817669164,1.0000000000000004,1.10208062874485,0.3407067135218812,0.06408891877205103,0.5271704477221776,USA,840
Israel,0.6604319482396414,0.39769507920660496,0.5305543201498251,1.0876766833763996,0.22599956082775285,0.22232530641311965,0.5207804830355572,ISR,376
Croatia,0.3294592774829116,0.7309483567163049,0.3074986546009866,1.3418654434922326,0.09133840860483178,0.22412379364076618,0.5042056557563389,HRV,191
United Arab Emirates,-0.1382757135438561,1.0,0.4983069897887509,1.2297622269050343,0.20265778407466317,0.17272983435264244,0.4941968535962058,ARE,784
Armenia,0.3205970388399668,0.7107838119889094,0.33834240150168826,1.1804425358688402,0.12260475283487227,0.1916833079050967,0.4774089748232289,ARM,51
Albania,0.12530842474201687,0.6298958639029466,0.6427086224299681,1.2320685399432816,-0.004756292039388099,0.22118635498453842,0.4744019189938939,ALB,8
Cyprus,0.4655924742569286,0.7391149816595772,0.4597987460691142,0.6475378583142775,0.14629730186341627,0.22555865454978008,0.44731666945218235,CYP,196
Uruguay,0.758165877148945,0.36836886432772875,0.20169418660629046,1.1169773752346535,0.12089648948914078,0.09728176353946993,0.4438974260577048,URY,858
